Postcode,Suburb,ID_Domain,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,5thPercentileSoldPrice,25thPercentileSoldPrice,75thPercentileSoldPrice,95thPercentileSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
3067,Abbotsford,627,990000.0,11.0,1650000.0,790000.0,790000.0,860000.0,1450000.0,1650000.0,1190000.0,27.0,1750000.0,115000.0,13.0,4.0,650.0,49.0,1250.0,400.0
3040,Aberfeldie,647,1300000.0,53.0,2980000.0,297000.0,447000.0,658000.0,1740000.0,2559000.0,1339000.0,109.0,5000000.0,280000.0,36.0,12.0,540.0,140.0,1400.0,290.0
3042,Airport West,757,950000.0,15.0,1500000.0,592000.0,592000.0,800000.0,1135000.0,1500000.0,950000.0,36.0,1400000.0,650000.0,14.0,4.0,545.0,45.0,1350.0,270.0
3021,Albanvale,787,600000.0,82.0,1281000.0,345000.0,386000.0,520000.0,656000.0,820000.0,600000.0,268.0,2500000.0,80000.0,34.0,9.0,360.0,169.0,1200.0,190.0
3206,Albert Park,797,2475000.0,10.0,5500000.0,1353000.0,1353000.0,1865000.0,2800000.0,5500000.0,2787000.0,15.0,13000000.0,1890000.0,8.0,3.0,850.0,31.0,1700.0,475.0
3020,Albion,837,608000.0,46.0,780000.0,402000.0,447000.0,536000.0,680000.0,733000.0,635000.0,121.0,4500000.0,69000.0,32.0,12.0,373.0,105.0,650.0,295.0
3078,Alphington,1047,1120000.0,17.0,2805000.0,676000.0,676000.0,988000.0,1550000.0,2805000.0,1220000.0,30.0,2350000.0,490000.0,9.0,6.0,620.0,62.0,920.0,270.0
3028,Altona Meadows,1127,605000.0,17.0,855000.0,490000.0,490000.0,565000.0,680000.0,855000.0,680000.0,43.0,850000.0,498000.0,1.0,1.0,370.0,28.0,440.0,310.0
3025,Altona North,1137,773000.0,28.0,1150000.0,660000.0,671000.0,740000.0,840000.0,1025000.0,788000.0,106.0,1400000.0,285000.0,28.0,8.0,485.0,110.0,750.0,315.0
3022,Ardeer,1507,590000.0,11.0,1453000.0,508000.0,508000.0,560000.0,700000.0,1453000.0,630000.0,31.0,1100000.0,270000.0,12.0,4.0,340.0,28.0,1430.0,275.0
