Postcode,Suburb,ID_Domain,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,5thPercentileSoldPrice,25thPercentileSoldPrice,75thPercentileSoldPrice,95thPercentileSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
3067,Abbotsford,627,1150000.0,19.0,1911000.0,535000.0,535000.0,990000.0,1350000.0,1911000.0,1150000.0,40.0,2700000.0,115000.0,19.0,12.0,638.0,38.0,1000.0,400.0
3040,Aberfeldie,647,1345000.0,52.0,4350000.0,326000.0,780000.0,980000.0,1680000.0,2980000.0,1368000.0,135.0,5000000.0,29000.0,51.0,24.0,500.0,154.0,1400.0,295.0
3042,Airport West,757,885000.0,21.0,1360000.0,590000.0,620000.0,800000.0,1210000.0,1360000.0,950000.0,57.0,1700000.0,70000.0,23.0,9.0,513.0,58.0,1350.0,240.0
3021,Albanvale,787,582000.0,79.0,1300000.0,365000.0,455000.0,550000.0,648000.0,732000.0,595000.0,350.0,1460000.0,34000.0,40.0,14.0,360.0,226.0,1200.0,260.0
3206,Albert Park,797,3025000.0,13.0,3815000.0,1400000.0,1400000.0,1990000.0,3300000.0,3815000.0,3048000.0,27.0,13000000.0,1450000.0,10.0,6.0,850.0,33.0,2500.0,330.0
3020,Albion,837,640000.0,35.0,863000.0,445000.0,479000.0,600000.0,710000.0,790000.0,620000.0,131.0,1100000.0,360000.0,30.0,11.0,380.0,139.0,650.0,290.0
3078,Alphington,1047,1300000.0,12.0,2130000.0,520000.0,520000.0,895000.0,1500000.0,2130000.0,1210000.0,38.0,2800000.0,825000.0,12.0,7.0,560.0,41.0,890.0,275.0
3028,Altona Meadows,1127,650000.0,17.0,845000.0,435000.0,435000.0,630000.0,720000.0,845000.0,650000.0,57.0,870000.0,400000.0,2.0,2.0,380.0,50.0,530.0,300.0
3025,Altona North,1137,825000.0,62.0,1070000.0,510000.0,605000.0,736000.0,892000.0,1010000.0,800000.0,141.0,1400000.0,490000.0,31.0,14.0,485.0,116.0,700.0,290.0
3143,Armadale,1587,2320000.0,23.0,4300000.0,1120000.0,1150000.0,1636000.0,3175000.0,3725000.0,2195000.0,49.0,10000000.0,399000.0,20.0,14.0,755.0,64.0,3195.0,320.0
3147,Ashburton,1787,1160000.0,21.0,2305000.0,693000.0,705000.0,956000.0,1331000.0,1445000.0,1170000.0,49.0,2200000.0,699000.0,19.0,9.0,613.0,54.0,960.0,320.0
3147,Ashwood,1807,1160000.0,21.0,2305000.0,693000.0,705000.0,956000.0,1331000.0,1445000.0,1170000.0,49.0,2200000.0,699000.0,19.0,9.0,613.0,54.0,960.0,320.0
3195,Aspendale,1817,1433000.0,10.0,1780000.0,975000.0,975000.0,1090000.0,1751000.0,1780000.0,1300000.0,19.0,1899000.0,630000.0,3.0,2.0,650.0,13.0,790.0,470.0
3195,Aspendale Gardens,1837,1433000.0,10.0,1780000.0,975000.0,975000.0,1090000.0,1751000.0,1780000.0,1300000.0,19.0,1899000.0,630000.0,3.0,2.0,650.0,13.0,790.0,470.0
3049,Attwood,1857,585000.0,23.0,886000.0,465000.0,515000.0,543000.0,703000.0,826000.0,590000.0,64.0,2100000.0,470000.0,23.0,12.0,400.0,43.0,600.0,325.0
3034,Avondale Heights,1957,790000.0,36.0,2000000.0,540000.0,560000.0,700000.0,920000.0,1250000.0,783000.0,70.0,1800000.0,79000.0,39.0,21.0,400.0,80.0,1080.0,300.0
3183,Balaclava,2197,1619000.0,17.0,3500000.0,916000.0,916000.0,1230000.0,2001000.0,3500000.0,1425000.0,32.0,3648000.0,340000.0,16.0,10.0,648.0,54.0,1200.0,295.0
