Postcode,Suburb,ID_Domain,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,5thPercentileSoldPrice,25thPercentileSoldPrice,75thPercentileSoldPrice,95thPercentileSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
3067,Abbotsford,627,1171000.0,16.0,2560000.0,735000.0,735000.0,1020000.0,1370000.0,2560000.0,1159000.0,29.0,2625000.0,499000.0,8.0,2.0,638.0,64.0,1300.0,320.0
3040,Aberfeldie,647,1242000.0,46.0,3500000.0,460000.0,470000.0,725000.0,1600000.0,2850000.0,1289000.0,101.0,4000000.0,440000.0,30.0,14.0,495.0,124.0,900.0,295.0
3042,Airport West,757,945000.0,16.0,1280000.0,650000.0,650000.0,800000.0,1200000.0,1280000.0,955000.0,40.0,2000000.0,650000.0,10.0,1.0,530.0,41.0,1100.0,280.0
3021,Albanvale,787,592000.0,62.0,820000.0,330000.0,445000.0,520000.0,632000.0,705000.0,599000.0,203.0,1460000.0,55000.0,10.0,2.0,360.0,187.0,920.0,265.0
3206,Albert Park,797,2510000.0,11.0,3465000.0,1400000.0,1400000.0,1685000.0,2780000.0,3465000.0,2450000.0,27.0,5500000.0,1300000.0,9.0,3.0,845.0,34.0,1900.0,340.0
3020,Albion,837,650000.0,37.0,1180000.0,360000.0,404000.0,545000.0,700000.0,830000.0,620000.0,81.0,1000000.0,360000.0,17.0,6.0,370.0,96.0,550.0,300.0
3078,Alphington,1047,1385000.0,13.0,2570000.0,900000.0,900000.0,1204000.0,2170000.0,2570000.0,1310000.0,25.0,2400000.0,850000.0,4.0,2.0,600.0,41.0,1100.0,280.0
3025,Altona North,1137,825000.0,55.0,1200000.0,600000.0,625000.0,745000.0,900000.0,1150000.0,800000.0,110.0,3000000.0,490000.0,19.0,6.0,470.0,99.0,700.0,290.0
3143,Armadale,1587,2277000.0,16.0,4600000.0,1235000.0,1235000.0,1600000.0,3000000.0,4600000.0,1950000.0,30.0,7250000.0,229000.0,3.0,2.0,700.0,57.0,2400.0,340.0
3147,Ashburton,1787,1100000.0,17.0,2000000.0,830000.0,830000.0,1081000.0,1331000.0,2000000.0,1100000.0,47.0,2100000.0,770000.0,11.0,7.0,563.0,54.0,890.0,320.0
