Postcode,Suburb,ID_Domain,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,5thPercentileSoldPrice,25thPercentileSoldPrice,75thPercentileSoldPrice,95thPercentileSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
3040,Aberfeldie,647,1338000.0,34.0,3400000.0,470000.0,733000.0,875000.0,1825000.0,2222000.0,1300000.0,85.0,4400000.0,289000.0,17.0,9.0,515.0,114.0,1000.0,275.0
3042,Airport West,757,1058000.0,19.0,1775000.0,695000.0,695000.0,901000.0,1242000.0,1775000.0,985000.0,41.0,2900000.0,640000.0,11.0,9.0,470.0,31.0,1000.0,280.0
3021,Albanvale,787,600000.0,65.0,1550000.0,385000.0,422000.0,540000.0,685000.0,1100000.0,600000.0,186.0,1460000.0,355000.0,3.0,2.0,358.0,174.0,1200.0,200.0
3020,Albion,837,600000.0,22.0,765000.0,417000.0,500000.0,540000.0,659000.0,699000.0,600000.0,70.0,1100000.0,400000.0,4.0,2.0,375.0,96.0,550.0,300.0
3078,Alphington,1047,1302000.0,14.0,1811000.0,725000.0,725000.0,958000.0,1515000.0,1811000.0,1275000.0,31.0,2600000.0,870000.0,6.0,5.0,588.0,42.0,1100.0,280.0
3143,Armadale,1587,2548000.0,12.0,12150000.0,1500000.0,1500000.0,1585000.0,4600000.0,12150000.0,3000000.0,30.0,8500000.0,399000.0,3.0,2.0,750.0,56.0,2400.0,330.0
3147,Ashburton,1787,1210000.0,10.0,1700000.0,775000.0,775000.0,1045000.0,1375000.0,1700000.0,1125000.0,33.0,2100000.0,800000.0,4.0,1.0,530.0,45.0,950.0,320.0
3147,Ashwood,1807,1210000.0,10.0,1700000.0,775000.0,775000.0,1045000.0,1375000.0,1700000.0,1125000.0,33.0,2100000.0,800000.0,4.0,1.0,530.0,45.0,950.0,320.0
3049,Attwood,1857,599000.0,21.0,765000.0,470000.0,480000.0,518000.0,630000.0,730000.0,580000.0,44.0,900000.0,382000.0,5.0,5.0,393.0,30.0,500.0,260.0
3034,Avondale Heights,1957,848000.0,22.0,1275000.0,690000.0,693000.0,750000.0,900000.0,1185000.0,850000.0,45.0,2590000.0,605000.0,6.0,4.0,430.0,54.0,695.0,300.0
