Postcode,School count,Education sector,School number,Name,Town/city,Longitude,Latitude,medianSoldPrice,numberSold
3003,1,Catholic,25.0,Simonds Catholic College,WEST MELBOURNE,144.952883,-37.805971,1110000.0,43.0
3008,1,Government,5573.0,Docklands Primary School,Docklands,144.940553,-37.812714,1278000.0,12.0
3011,6,Government,253.0,Footscray Primary School,Footscray,144.89266899999998,-37.798383,1061000.0,96.0
3011,6,Government,1912.0,Footscray City Primary School,Footscray,144.900253,-37.8064,1061000.0,96.0
3011,6,Government,4160.0,Footscray North Primary School,Footscray,144.883372,-37.787746000000006,1061000.0,96.0
3011,6,Government,7842.0,Footscray High School,Footscray,144.89376330000002,-37.79104291,1061000.0,96.0
3011,6,Catholic,477.0,St Monica's School,FOOTSCRAY,144.90683700000002,-37.801162,1061000.0,96.0
3011,6,Catholic,1146.0,St John's School,FOOTSCRAY,144.885221,-37.795825,1061000.0,96.0
3012,2,Government,3890.0,Footscray West Primary School,West Footscray,144.87526699999998,-37.794866999999996,835000.0,151.0
3012,2,Catholic,1648.0,Annunciation School,BROOKLYN,144.847959,-37.820989000000004,835000.0,151.0
3013,4,Government,2832.0,Yarraville West Primary School,Yarraville,144.885386,-37.814751,1050000.0,227.0
3013,4,Government,3988.0,Kingsville Primary School,Yarraville,144.874657,-37.812595,1050000.0,227.0
3013,4,Government,4788.0,Wembley Primary School,Yarraville,144.874427,-37.821038,1050000.0,227.0
3013,4,Government,5278.0,Yarraville Special Developmental School,Yarraville,144.883653,-37.817904999999996,1050000.0,227.0
3015,6,Government,113.0,Newport Lakes Primary School,Newport,144.878345,-37.838423999999996,1000000.0,31.0
3015,6,Government,3659.0,Spotswood Primary School,Spotswood,144.88173600000002,-37.830451000000004,1000000.0,31.0
3015,6,Government,4665.0,Newport Gardens Primary School,Newport,144.868832,-37.845209000000004,1000000.0,31.0
3015,6,Catholic,77.0,Sacred Heart School,NEWPORT,144.881396,-37.840028000000004,1000000.0,31.0
3015,6,Independent,1003.0,Westbourne Grammar School,NEWPORT,144.894928,-37.850190999999995,1000000.0,31.0
3015,6,Catholic,1527.0,St Margaret Mary's School,SPOTSWOOD,144.877732,-37.829084,1000000.0,31.0
3016,6,Government,1183.0,Williamstown Primary School,Williamstown,144.900409,-37.863797999999996,1165000.0,16.0
3016,6,Government,1409.0,Williamstown North Primary School,Williamstown,144.891757,-37.855902,1165000.0,16.0
3016,6,Government,8475.0,Williamstown High School,Williamstown,144.895024,-37.862854999999996,1165000.0,16.0
3016,6,Government,8800.0,Bayside P-12 College,Williamstown,144.8852138,-37.85770007,1165000.0,16.0
3016,6,Catholic,78.0,St Mary's School,WILLIAMSTOWN,144.900894,-37.863498,1165000.0,16.0
3016,6,Independent,2107.0,Lumineer Academy - Williamstown,WILLIAMSTOWN,144.905196,-37.863109,1165000.0,16.0
